step,log_step_index,g11_reward,g10_reward,g11_reference_kl,g10_reference_kl,g11_kl_loss,g10_kl_loss,g11_response_len_mean_tokens,g10_response_len_mean_tokens,g11_response_len_max_tokens,g10_response_len_max_tokens,g11_rollout_time_s,g10_rollout_time_s,g11_tokens_per_gpu_s,g10_tokens_per_gpu_s,g11_longest_sample_tokens_s,g10_longest_sample_tokens_s,g11_ref_log_probs_time_s,g10_ref_log_probs_time_s,g11_actor_train_time_s,g10_actor_train_time_s,g11_actor_train_tokens_s,g10_actor_train_tokens_s,g11_train_time_s,g10_train_time_s,g11_step_time_s,g10_step_time_s,g11_mismatch_count,g10_mismatch_count,g11_max_abs_diff,g10_max_abs_diff,g11_active_tokens_mean,g10_active_tokens_mean,delta_g11_minus_g10_reward,delta_g11_minus_g10_reference_kl,delta_g11_minus_g10_kl_loss,delta_g11_minus_g10_response_len_mean_tokens,delta_g11_minus_g10_response_len_max_tokens,delta_g11_minus_g10_rollout_time_s,delta_g11_minus_g10_tokens_per_gpu_s,delta_g11_minus_g10_longest_sample_tokens_s,delta_g11_minus_g10_ref_log_probs_time_s,delta_g11_minus_g10_actor_train_time_s,delta_g11_minus_g10_actor_train_tokens_s,delta_g11_minus_g10_train_time_s,delta_g11_minus_g10_step_time_s,delta_g11_minus_g10_mismatch_count,delta_g11_minus_g10_max_abs_diff,delta_g11_minus_g10_active_tokens_mean
11,10,0.109375,0.0859375,0.0,0.0,0.0008709862595424056,0.00019862415501847863,6655.75,6646.7734375,7168.0,7168.0,80.98465633392334,152.9777708053589,1314.9651405681398,695.1884214296223,88.51059354310583,46.85648092702434,22.691545009613037,24.325316190719604,120.06068658828735,94.07751250267029,7259.928497568937,9252.827555100293,142.98743748664856,118.64040422439575,243.97635436058044,291.48740696907043,0.0,4758.0078125,0.0,0.6639820337295532,6655.75,6646.7734375,0.0234375,0.0,0.000672362104523927,8.9765625,0.0,-71.99311447143555,619.7767191385175,41.654112616081484,-1.6337711811065674,25.983174085617065,-1992.8990575313564,24.347033262252808,-47.51105260848999,-4758.0078125,-0.6639820337295532,8.9765625
12,11,0.3203125,0.265625,0.0,0.0,0.0009113270207308233,0.00028101992211304605,6431.0,6485.34375,7168.0,7168.0,77.01611065864563,148.24735116958618,1336.0321511957468,699.9484252592035,93.07143581646626,48.35162276727787,22.850786685943604,24.585490942001343,117.0029046535492,95.03204703330994,7188.197613472562,8923.263535539403,140.08953881263733,119.85596489906311,237.24193239212036,287.9791316986084,0.0,4260.8125,0.0,0.6969559192657471,6431.0,6485.34375,0.0546875,0.0,0.0006303070986177772,-54.34375,0.0,-71.23124051094055,636.0837259365433,44.719813049188396,-1.7347042560577393,21.970857620239258,-1735.0659220668413,20.23357391357422,-50.73719930648804,-4260.8125,-0.6969559192657471,-54.34375
13,12,0.1796875,0.171875,0.0,0.0,0.0008430213783867657,0.000376501731807366,6874.0,6848.8203125,7168.0,7168.0,78.62020516395569,152.85804653167725,1398.9279189826307,716.881626361038,91.17249166485577,46.8931807166236,23.75480628013611,25.506823539733887,124.88073682785034,100.39033365249634,7215.716553964468,8943.898952542957,148.8730766773224,126.13527703285217,247.67507147789001,299.42618560791016,0.0,4067.375,0.0,0.7591615319252014,6874.0,6848.8203125,0.0078125,0.0,0.0004665196465793997,25.1796875,0.0,-74.23784136772156,682.0462926215927,44.27931094823217,-1.7520172595977783,24.490403175354004,-1728.1823985784886,22.737799644470215,-51.75111413002014,-4067.375,-0.7591615319252014,25.1796875
14,13,0.3671875,0.359375,0.0,0.0,0.0009466548217460513,0.0006614563753828406,6102.6484375,6076.328125,7168.0,7168.0,74.46841311454773,140.60563206672668,1311.1918317610173,691.4463423048522,96.25557602488645,50.979465720109346,21.460724592208862,22.161086320877075,111.03829741477966,85.14374160766602,7209.215366566403,9362.16784638261,132.73233485221863,107.54205775260925,227.34471225738525,268.3511025905609,0.0,3702.890625,0.0,0.6690464019775391,6102.6484375,6076.328125,0.0078125,0.0,0.0002851984463632107,26.3203125,0.0,-66.13721895217896,619.745489456165,45.276110304777106,-0.7003617286682129,25.894555807113647,-2152.9524798162074,25.190277099609375,-41.00639033317566,-3702.890625,-0.6690464019775391,26.3203125
15,14,0.34375,0.3984375,0.0,0.0,0.0010082339867949486,0.0007493121665902436,6206.6484375,6081.3359375,7168.0,7168.0,74.95943784713745,139.4591670036316,1324.8014906743635,697.7051210801095,95.62505010533148,51.39855739862078,21.61498475074768,22.461721658706665,112.77708411216736,86.40737390518188,7218.514349868439,9235.820554802685,134.62438774108887,109.1053946018219,229.6506006717682,268.7142331600189,0.0,3762.96875,0.0,0.6645004153251648,6206.6484375,6081.3359375,-0.0546875,0.0,0.000258921820204705,125.3125,0.0,-64.49972915649414,627.096369594254,44.2264927067107,-0.8467369079589844,26.369710206985474,-2017.3062049342461,25.518993139266968,-39.06363248825073,-3762.96875,-0.6645004153251648,125.3125
16,15,0.296875,0.2890625,0.0,0.0,0.0009228518465533853,0.0006607099203392863,6420.375,6347.4375,7168.0,7168.0,77.94829845428467,143.80149960517883,1317.8735397315572,706.2443735207229,91.95838962673326,49.84648991617229,22.726919889450073,24.317172527313232,118.04665565490723,93.48403859138489,7106.613866744697,8873.985468535913,141.00832295417786,118.04398322105408,238.980122089386,282.10977149009705,0.0,3754.03125,0.0,0.7192646265029907,6420.375,6347.4375,0.0078125,0.0,0.00026214192621409893,72.9375,0.0,-65.85320115089417,611.6291662108343,42.11189971056098,-1.5902526378631592,24.56261706352234,-1767.3716017912166,22.96433973312378,-43.12964940071106,-3754.03125,-0.7192646265029907,72.9375
17,16,0.53125,0.515625,0.0,0.0,0.001262323698028922,0.001020960509777069,5795.2734375,5672.8984375,7168.0,7168.0,81.23074221611023,132.19050860404968,1141.493632463822,686.6330719089112,88.24245358893685,54.22477056556545,21.335344791412354,21.822431802749634,107.84097266197205,84.70865058898926,7029.341272506081,8764.004559606316,129.40917325019836,106.76566934585571,230.62474513053894,258.8312635421753,0.0,3380.828125,0.0,0.6724258661270142,5795.2734375,5672.8984375,0.015625,0.0,0.000241363188251853,122.375,0.0,-50.95976638793945,454.86056055491076,34.017683023371404,-0.4870870113372803,23.132322072982788,-1734.6632871002348,22.64350390434265,-28.206518411636353,-3380.828125,-0.6724258661270142,122.375
18,17,0.46875,0.4609375,0.0,0.0,0.0010526957921683788,0.0011903722770512104,6193.1171875,6109.7578125,7168.0,7168.0,74.79426908493042,139.42461156845093,1324.8324532389163,701.1396617878066,95.83621964218395,51.4112961790885,22.463701963424683,24.098953247070312,115.52955055236816,93.26494526863098,7052.039898923502,8621.127666821634,138.22729778289795,117.59765338897705,233.0146963596344,277.1389527320862,0.0,3708.015625,0.0,0.7090646028518677,6193.1171875,6109.7578125,0.0078125,0.0,-0.00013767648488283157,83.359375,0.0,-64.63034248352051,623.6927914511097,44.424923463095446,-1.6352512836456299,22.264605283737183,-1569.0877678981324,20.6296443939209,-44.12425637245178,-3708.015625,-0.7090646028518677,83.359375
19,18,0.609375,0.625,0.0,0.0,0.0018642160575836897,0.002102834638208151,5520.859375,5415.515625,7168.0,7168.0,85.51658606529236,127.83942937850952,1032.9428952245207,677.7897118380445,83.81999714683646,56.07033788282051,20.155421018600464,20.309549570083618,102.74633812904358,78.31824111938477,7086.9484329988945,9125.256004033383,123.1337821483612,98.8604326248169,228.63529896736145,246.51128435134888,0.0,3068.5859375,0.0,0.6968894004821777,5520.859375,5415.515625,-0.015625,0.0,-0.00023861858062446117,105.34375,0.0,-42.32284331321716,355.15318338647626,27.749659264015946,-0.1541285514831543,24.428097009658813,-2038.3075710344883,24.27334952354431,-17.875985383987427,-3068.5859375,-0.6968894004821777,105.34375
20,19,0.4765625,0.5390625,0.0,0.0,0.0013392632827162743,0.0015923543833196163,5996.4765625,5819.0390625,7168.0,7168.0,74.75797581672668,135.59859204292297,1283.3898183012755,686.6194080431768,95.88274591025242,52.86190580600579,21.307152032852173,22.376373767852783,109.9072778224945,85.65980100631714,7134.714056574588,8889.175448164371,131.445214509964,108.27153134346008,226.42052960395813,263.8059124946594,0.0,3118.5703125,0.0,0.6564945578575134,5996.4765625,5819.0390625,-0.0625,0.0,-0.00025309110060334206,177.4375,0.0,-60.84061622619629,596.7704102580987,43.02084010424664,-1.0692217350006104,24.247476816177368,-1754.4613915897835,23.173683166503906,-37.385382890701294,-3118.5703125,-0.6564945578575134,177.4375
21,20,0.3828125,0.3984375,0.0,0.0,0.0013123640092089772,0.0019212639890611172,6325.2890625,6290.75,7168.0,7168.0,75.545982837677,144.91725301742554,1339.6427076401246,694.5480810894002,94.88260964718177,49.46270958598757,23.38938808441162,24.94454550743103,118.7495493888855,96.52980518341064,6985.76966623541,8547.991974418754,142.37055039405823,121.71083927154541,237.99326968193054,286.6295602321625,0.0,3842.4140625,0.0,0.7862330675125122,6325.2890625,6290.75,-0.015625,0.0,-0.00060889997985214,34.5390625,0.0,-69.37127017974854,645.0946265507245,45.4199000611942,-1.5551574230194092,22.219744205474854,-1562.2223081833436,20.659711122512817,-48.636290550231934,-3842.4140625,-0.7862330675125122,34.5390625
22,21,0.3984375,0.3671875,0.0,0.0,0.001361468923278153,0.0019440214382484555,6432.859375,6524.671875,7168.0,7168.0,75.47169494628906,147.75604248046875,1363.766244725909,706.534556878102,94.97600398535172,48.51239840798733,23.170296669006348,25.418222665786743,120.21986865997314,97.19155740737915,7022.716040290412,8807.575707548109,143.62660670280457,122.84597945213318,239.3022711277008,290.7105915546417,0.0,3838.296875,0.0,0.7943591475486755,6432.859375,6524.671875,0.03125,0.0,-0.0005825525149703026,-91.8125,0.0,-72.28434753417969,657.231687847807,46.4636055773644,-2.2479259967803955,23.028311252593994,-1784.8596672576969,20.780627250671387,-51.40832042694092,-3838.296875,-0.7943591475486755,-91.8125
23,22,0.296875,0.3515625,0.0,0.0,0.0013427475932985544,0.0030021369457244873,6008.4765625,5907.328125,7168.0,7168.0,72.73514175415039,137.52131366729736,1321.7218346111815,687.2916457783682,98.54933704849735,52.12282960982618,21.72939395904541,22.737223386764526,111.33932709693909,86.70462083816528,7046.10868823517,8898.741411257946,133.30308318138123,109.6762363910675,226.55291390419006,267.34770250320435,0.0,3282.890625,0.0,0.7751240134239197,6008.4765625,5907.328125,-0.0546875,0.0,-0.0016593893524259329,101.1484375,0.0,-64.78617191314697,634.4301888328133,46.42650743867117,-1.0078294277191162,24.634706258773804,-1852.6327230227762,23.62684679031372,-40.79478859901428,-3282.890625,-0.7751240134239197,101.1484375
