phase,run_id,group,seed,rollout_seed,num_rollout,rl_kernel_revision,vime_revision,prompt_data_sha256,cudagraph_passed,validation_passed,offline_tensor_comparison,rounds_observed
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,200,d2173e8d948e8cf062ac36be32bdf53bac75daa0,1a113710e80aa7cfc271caa9bd90bcf348a7af08,73e2166517fd635e1157aff17202f86a5cced44ca1669e6f49d2d63a59bf509d,True,True,unavailable,200
convergence,g11-convergence-s1234-tp4-20260901e,G11,1234,1234,200,5403df6e3c5244343438916248ccfcc597dd96f6,a013293fb6dfdc5cd27152b54f64209ea2691d26,73e2166517fd635e1157aff17202f86a5cced44ca1669e6f49d2d63a59bf509d,True,True,unavailable,200
