phase,run_id,group,seed,rollout_seed,step,framework_consistency,operator_case,reward,raw_reward,response_length,truncated_ratio,rollout_kl,train_loss,pg_loss,pg_clipfrac,entropy,ppo_kl,grad_norm,mean_abs_dlogp,max_abs_dlogp,mismatch_count,active_token_count,rollout_time,train_time,step_time,update_weights_time,actor_tokens_per_second,actor_train_tflops
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,12,True,P/P,0.0,0.5,4174.375,0.0,0.0,-3.910437226295471e-05,-3.910437226295471e-05,0.00358419306576252,0.2151423692703247,0.0006257632048800588,0.7482235055063424,0.010273435153067112,0.5051577091217041,17010.0,33395.0,45.05213737487793,4.5881593227386475,69.39601612091064,14.856159210205078,7672.172282628071,47.32012025889719
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,13,True,P/P,-3.725290298461914e-09,0.875,4290.875,0.0,0.0,0.0002124495804309845,0.0002124495804309845,0.0051225051283836365,0.27130717039108276,0.0005801066290587187,0.8109315993254208,0.012389028444886208,0.5364299416542053,21671.0,34327.0,43.18650507926941,4.742377758026123,67.75360441207886,15.117964267730713,7578.966127534194,46.77146280603078
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,14,True,P/P,-1.4901161193847656e-08,0.625,4237.875,0.0,0.0,0.0003873556852340698,0.0003873556852340698,0.004298387095332146,0.23583880066871643,0.00043751904740929604,0.6870980821888364,0.011153671890497208,0.6332810521125793,19296.0,33903.0,43.96708559989929,5.316413640975952,69.02921891212463,14.891580581665039,6603.241275616848,40.69907780084455
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,15,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.34094175696372986,0.0007889511180110276,0.0,0.014646660536527634,0.7661538124084473,42189.0,57344.0,67.71523976325989,6.343425512313843,93.75518155097961,14.821417093276978,9327.67241061209,60.4718858665828
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,16,True,P/P,0.0,0.75,4350.875,0.125,0.0,1.979619264602661e-05,1.979619264602661e-05,0.004776099696755409,0.27704596519470215,0.0009653666638769209,0.6813714006728129,0.012729418464004993,0.5915727615356445,21198.0,34807.0,62.018779277801514,4.737968683242798,86.58805251121521,14.951040029525757,7835.480823613509,48.69035376539358
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,17,True,P/P,0.0,0.5,5744.125,0.125,0.0,0.00023774057626724243,0.00023774057626724243,0.0036657596938312054,0.2870829105377197,0.000623806961812079,0.5967342020907382,0.012528423219919205,0.7349861860275269,29655.0,45953.0,64.46116399765015,6.235980749130249,90.48583698272705,14.88133692741394,7643.224441381263,48.427231765386196
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,18,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.24985149502754211,0.0005341017968021333,0.0,0.010709828697144985,0.6611655950546265,31045.0,57344.0,67.51829314231873,6.3801703453063965,94.03099393844604,15.157917022705078,9290.346630981201,60.24428462597861
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,19,True,P/P,0.0,0.75,4527.25,0.0,0.0,0.0003070533275604248,0.0003070533275604248,0.004181845113635063,0.2931738495826721,0.0006898391293361783,0.6365560311993935,0.012632078491151333,0.61952805519104,22955.0,36218.0,50.636481523513794,5.478410005569458,76.11529660224915,15.098262071609497,6933.442597294526,43.05049417582007
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,20,True,P/P,1.4901161193847656e-08,0.375,6711.5,0.625,0.0,0.0003246329724788666,0.0003246329724788666,0.003028714098036289,0.2523394525051117,0.0009607656393200159,0.5312549366441127,0.011415356770157814,0.6908265352249146,29414.0,53692.0,66.54918098449707,6.355381011962891,92.98513317108154,15.227828025817871,8745.308141322097,56.334857406725845
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,21,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.42058873176574707,0.000759697169996798,0.0,0.014996391721069813,0.7838053107261658,42896.0,57344.0,67.45322680473328,6.360701322555542,93.75775361061096,15.068852424621582,9306.348909448629,60.33158585428821
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,22,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.24330207705497742,0.0005154722603037953,0.0,0.010491483844816685,0.6533262729644775,34671.0,57344.0,67.3405556678772,6.425260305404663,93.64012289047241,14.979021072387695,9175.486146803476,59.451766496438914
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,23,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.3639666438102722,0.000785493350122124,0.0,0.014399819076061249,0.7272769808769226,39032.0,57344.0,67.44907855987549,6.367808103561401,93.60742592811584,14.909992933273315,9301.364940821186,60.306476170997875
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,24,True,P/P,-3.725290298461914e-09,0.875,5936.125,0.125,0.0,0.000288182869553566,0.000288182869553566,0.004802369512617588,0.25187551975250244,0.0010903594084084034,0.5948213648911591,0.011529816314578056,0.7873067855834961,27313.0,47489.0,65.37698674201965,6.298056602478027,91.37925720214844,14.841277599334717,8136.341018017501,51.97587203565573
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,25,True,P/P,-3.725290298461914e-09,0.875,5395.25,0.0,0.0,0.0003207121044397354,0.0003207121044397354,0.004798966459929943,0.2643960118293762,0.0009967524092644453,0.625912572294836,0.011647357605397701,0.6367483139038086,26014.0,43162.0,56.07310223579407,6.219217300415039,82.3099935054779,15.129562139511108,7183.511299445129,45.19522047820603
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,26,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.284249871969223,0.0007087260019034147,0.0,0.01306111179292202,0.6667622327804565,35369.0,57344.0,67.3579409122467,6.395200252532959,93.74777007102966,15.06612753868103,9215.632416656272,59.718005820502235
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,27,True,P/P,1.4901161193847656e-08,0.375,6398.875,0.25,0.0,7.593631744384766e-05,7.593631744384766e-05,0.003754957113415003,0.3934386968612671,0.0007342100143432617,0.6641373311683457,0.015292856842279434,0.8349349498748779,35827.0,51191.0,65.6477906703949,6.3069281578063965,91.9380235671997,15.044588327407837,8386.89947716577,53.7040163707761
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,28,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.22138556838035583,0.0006103095947764814,0.0,0.010613763704895973,0.7080219388008118,30482.0,57344.0,67.78959560394287,6.37563681602478,93.94752788543701,14.877451181411743,9490.94775857754,61.705697221906554
